"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","1.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","1.1.0","host","USB","62","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","1.1.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","1.1.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","1.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","1.2.0","host","USB","733","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","1.2.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","1.2.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","1.3.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","1.3.0","host","USB","205","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","1.3.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","1.3.0","host","USB","28","SET CONFIGURATION Response"
"19","0.121173","1.1.1","host","USB","31","URB_INTERRUPT in"
"20","0.121220","host","1.1.1","USB","27","URB_INTERRUPT in"
"21","0.265158","1.1.1","host","USB","31","URB_INTERRUPT in"
"22","0.265205","host","1.1.1","USB","27","URB_INTERRUPT in"
"23","0.825109","1.1.1","host","USB","31","URB_INTERRUPT in"
"24","0.825205","host","1.1.1","USB","27","URB_INTERRUPT in"
"25","0.833253","1.1.1","host","USB","31","URB_INTERRUPT in"
"26","0.833313","host","1.1.1","USB","27","URB_INTERRUPT in"
"27","0.841204","1.1.1","host","USB","31","URB_INTERRUPT in"
"28","0.841263","host","1.1.1","USB","27","URB_INTERRUPT in"
"29","0.849246","1.1.1","host","USB","31","URB_INTERRUPT in"
"30","0.849309","host","1.1.1","USB","27","URB_INTERRUPT in"
"31","0.857149","1.1.1","host","USB","31","URB_INTERRUPT in"
"32","0.857207","host","1.1.1","USB","27","URB_INTERRUPT in"
"33","0.865232","1.1.1","host","USB","31","URB_INTERRUPT in"
"34","0.865292","host","1.1.1","USB","27","URB_INTERRUPT in"
"35","0.873091","1.1.1","host","USB","31","URB_INTERRUPT in"
"36","0.873138","host","1.1.1","USB","27","URB_INTERRUPT in"
"37","0.881674","1.1.1","host","USB","31","URB_INTERRUPT in"
"38","0.881720","host","1.1.1","USB","27","URB_INTERRUPT in"
"39","0.889203","1.1.1","host","USB","31","URB_INTERRUPT in"
"40","0.889262","host","1.1.1","USB","27","URB_INTERRUPT in"
"41","0.897226","1.1.1","host","USB","31","URB_INTERRUPT in"
"42","0.897286","host","1.1.1","USB","27","URB_INTERRUPT in"
"43","0.905226","1.1.1","host","USB","31","URB_INTERRUPT in"
